subset,invariance_score,predictiveness_train,predictiveness_val,predictiveness_test,skill_score_test,regret_cluster_0,regret_cluster_1,regret_cluster_2,regret_cluster_3,regret_cluster_4
"{SW_IN_POT, SW_IN_POT_daily, dSW_IN_POT_daily, EVI, NIRv, NDWI_SWIR2}",8.200377929842074e-07,0.06694080010338252,0.06840871571790468,0.0718105127080288,-0.03608406312975976,0.002327939327546713,0.00359136787486046,0.0019233077697624473,0.0020682200017478267,0.004196167339431192
"{LST_Day, NDWI_SWIR2, PFT}",4.923647371369152e-07,0.10815425033257359,0.09412624435592376,0.12371746984109588,-1.0228188239995923,0.00045680939655956543,0.002202195402639856,0.00015849882937729598,0.0010511964340844254,0.0011043723701138208
"{SW_IN_POT, SW_IN_POT_daily, dSW_IN_POT_daily, LST_Day, EVI, NDWI_SWIR2, PFT}",1.4212120307290077e-06,0.06412903384589488,0.06493385440471852,0.06760180287214454,0.051738459691454186,0.00230722757470405,0.0028770609963645333,0.001813730321015436,0.0005708039360264108,0.004186659900143483
"{TA, SW_IN_POT, SW_IN_POT_daily, dSW_IN_POT, dSW_IN_POT_daily, LST_Day, EVI, NDWI_SWIR2}",3.9859628786826824e-07,0.06253453507634532,0.06007742014282077,0.0742166363878882,-0.1940105479950435,0.0021875374259633373,0.002029110637278647,0.0025306280369484097,0.0011051789747614504,0.0030120032525634693
"{TA, dSW_IN_POT, LST_Day, EVI, PFT}",1.2760477646170017e-06,0.07760795764271389,0.07118624717630731,0.09532781142180016,-0.26443535838489934,0.0024629156631949256,0.002697328398969856,0.003909680883773234,0.0029179066159577133,0.005538106135827059
"{SW_IN, SW_IN_POT_daily, dSW_IN_POT, LST_Night, NIRv, NDWI_SWIR2}",2.7744180397761965e-07,0.05807570417512941,0.05328077816665218,0.06077764008755124,-0.007068578124523735,0.0020217671999031434,0.0026990700302450335,0.0022906700950565684,0.001857418113443511,0.0033251435051287054
"{TA, dSW_IN_POT, dSW_IN_POT_daily, LST_Day, LST_Night, PFT}",1.4334209062386358e-06,0.07846723593214107,0.07246526984571858,0.10194507767687516,-0.6984289771073646,0.005865356749693726,0.003962400383213591,0.004645899821701535,0.0025250627987436075,0.0055452825758647295
"{TA, VPD, SW_IN, SW_IN_POT, dSW_IN_POT, dSW_IN_POT_daily, NIRv, PFT}",2.279636747791097e-06,0.05496362684818914,0.05097568868722832,0.059068437816848285,0.06335876173407583,0.0016692818264528453,0.002255479622752306,0.0015189225382941096,0.0008075877658454758,0.005157044133019678
"{SW_IN, LST_Night, EVI}",4.076068291000777e-07,0.06600975653426018,0.05646610503245919,0.07116726307806809,-0.1931454352286348,0.0011743969969733176,0.0018633342700985767,0.0005035587949100556,0.0020806110345901185,0.002200569989095874
"{VPD, dSW_IN_POT_daily, LST_Day, EVI}",3.1523727888080636e-07,0.08679108921179074,0.07606079755733514,0.09520813997013897,-0.5588455829737632,0.0008841884514903114,0.0020819056910473394,0.0017921134925575483,0.002615395041599647,0.0018158329151526098
